Latitude,Longitude,Zones,Lab,Ag,B,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,V,Zn,As,Sb,Se,Hg,Fe,Al,pH H2O,pH KCl,PM,K+,Ca2+,Mg2+,Al3+,H+Al,SB,ECEC,CEC,V (%),m (%),SOM,PREM,Coarse sand,Fine sand,Silt,Clay
-16.06083,-40.80228,MA,UFV1,0,9.08,2.65,1.4,0.6,79.42,36.94,59.69,0.498347,7.59,8.71,2.72,118.27,21.74,9.65,0.55,0.33,0.36,49458.08,126063.47,4.9,4.3,0.5,30,0,0.1,0.2,6.4,0.1,0.4,6.5,2,64.9,4.6,13.2,1,2,10,87
-15.97725,-41.40714,MA,UFV1,0,24.52,197.89,2.48,8.98,33.59,48.64,74.23999999999998,0.455179433909691,10.18,27.07,6.21,38,19.7,5.72,0.51,0.13,0.16,59897.39,30912.89,5.1,4,1.5,142,0.3,0.5,0.8,6,1.2,2,7.2,17.1,38.3,3.6,24.6,13,26,25,36
-16.08433,-40.55592,MA,UFV1,0,17.72,46.59,1.98,4.7,28.37,33.6,17.93,0.455179433909691,9.32,14.91,1.71,24.88,19.98,1.3,0.17,0.0466662,0.0342896437742502,44041.94,15263.54,5.4,4,0.3,74,0.3,0.3,0.5,2.1,0.8,1.3,2.9,26.3,41.4,0.1,32.5,16,37,4,43
-16.31103,-40.8035,MA,UFV1,0,5.32,1.29,0.64,0.211348082025283,53.65,17.9,28.35,0.31563600000000003,6.67,1.29605785924355,1.66,56.53,12.06,3.78,0.44,0.19,0.0342896437742502,20796.31,88878.6,5.4,4.3,0.1,6,0,0,0.2,3.8,0,0.2,3.8,0.8,86.4,1.9,19.3,4,18,44,34
-15.98936,-41.82175,MA,UFV1,0,1.14559749674312,45.17,0.178803683470566,2.58,66.41,138.38,10.51,0.455179433909691,12.09,77.45,2.28,18.28,22.77,0.35,0.15,0.14,4.33,3452.69,48798.16,4.6,3.6,0.7,6,0,0,4.2,34.2,0.1,4.3,34.3,0.2,98.6,16,4.2,41,33,0,26
-16.07525,-41.03897,MA,UFV1,0,6.61,0.83,0.79,0.93,43.51,20.22,28.37,0.560533,5.93,2.83,0.85,68.54,9.67,4.25,0.4,0.22,0.32,22622.93,34598.12,5,4.3,0.3,6,0,0,0.2,2.4,0.1,0.3,2.5,2.8,73.1,1.2,30,5,83,1,11
-15.92247,-46.17867,SF,UFV1,0,10.52,257.99,1.5,6.5,46.19,37.05,32.94,0.455179433909691,13.78,19.56,20.36,71.18,31.89,0.78,0.09,0.67,0.31,38979.68,52633.53,7,5.6,0.9,51,1.4,10.6,0,2.2,14.1,14.1,16.3,86.5,0,0.6,38,1,3,38,58
-15.38122,-42.28314,MA,UFV1,0,1.14559749674312,9.12,0.178803683470566,0.211348082025283,24.73,3.71,6.35,0.824219,9.43,13.9,1.97,12.32,3.56,0.3,0.08,0.12,0.0342896437742502,1828.99,8279.98,5,4.1,1.2,12,0,0,0.3,2.4,0.1,0.4,2.5,2.4,82.9,0.6,41.2,72,19,2,7
-15.77992,-45.97381,SF,UFV1,0,2.99,2.58,0.178803683470566,0.211348082025283,8.97,1.69,20.33,0.24898,4.71,9.93,0.96,5.52,2.93,0.3,0.01733316,0.0466662,0.0342896437742502,1599.35,8834.56,5.3,4.3,1.5,13,0.3,0.2,0.1,2.7,0.4,0.6,3.1,13.7,24.6,1.2,42.3,41,49,1,9
-16.15528,-40.22586,MA,UFV1,0,4.09,10.96,0.178803683470566,0.59,23.31,10.33,77.56999999999998,0.455179433909691,6.11,14.68,1.49,18.75,5.92,5.16,0.28,0.0466662,0.0342896437742502,7840.14,14808.9,5,4,1,23,0.2,0.1,0.3,2.7,0.4,0.6,3.1,11.5,45.3,0.9,42.1,24,56,8,12
-15.37889,-42.37722,MA,UFV1,0,6.41,17.41,0.85,2.12,36.26,30.8,41.74,0.455179433909691,13.97,21.99,1.92,58.51,15.9,4.27,0.67,0.32,0.1,27160.56,51997.11,4.9,3.8,1.2,81,0.1,0.2,0.8,5.1,0.5,1.3,5.6,8.9,62.1,1.9,26.4,5,49,14,32
-16.0565,-40.9675,MA,UFV1,0,4.22,1.44,0.178803683470566,0.43,39.95,14.49,19.55,0.381005,8.05,13.25,1.8,26.77,12.8,2.57,0.38,0.29,0.08,10616.39,76791.89,4.8,4.1,17.8,43,0.5,0.2,0.2,5.2,0.8,1,6,13.3,23.1,2.8,25.9,30,29,3,38
-15.37739,-42.02839,MA,UFV1,0,14.04,66.53,2.71,2.52,69.96,63.42,55.79,0.455179433909691,13.94,18.59,1.85,82.73,24.29,3.39,0.84,0.27,0.31,61594.3,68556.6,5,3.8,0.9,113,0,0.3,1.5,7.6,0.6,2.1,8.2,7.4,71,3.3,15.1,7,10,23,60
-15.29253,-45.62717,SF,UFV1,0,7.77,15.57,1.43,2.24,60.11,50.88,175.18,0.455179433909691,19.11,11.24,4.56,114.16,30.11,4.57,0.95,0.18,0.17,39377.91,100828.92,5.2,4,0.7,118,0.9,0.6,0.3,4.9,1.8,2.1,6.7,26.8,16,3.2,22.6,6,10,18,66
-15.44836,-42.45033,MA,UFV1,0,6.98,8.04,1.27,0.211348082025283,19.73,23.62,38.86,0.475684,2.62,7.49,2.52,58.12,15,8.31,0.24,1.23,0.0342896437742502,28435.83,44668.94,3.8,3.7,1,15,0,0,1.3,14.6,0.1,1.4,14.7,0.5,94.9,2.7,21.2,39,3,6,52
-16.75353,-41.45003,MA,UFV1,0,7.61,5.75,1.64,0.211348082025283,20.95,28.82,52.8,0.868554,6.45,5.31,1.87,77.4,16.44,6.96,0.35,1.31,0.24,34419.07,42543.52,4.1,4,0.2,5,0,0,0.7,5.7,0,0.7,5.7,0.3,97.3,2.6,21.6,30,4,4,62
-15.5575,-42.58283,MA,UFV1,0,1.14559749674312,125.38,0.44,2.08,16.85,10.58,120.07,0.479074,5.42,33.71,12.84,16.14,22.47,0.62,0.01733316,0.31,0.09,6485.99,14382.18,5.4,4.5,1,109,2.5,0.7,0,2.7,3.5,3.5,6.2,56.5,0,1.8,49.9,37,26,16,21
-16.71664,-41.18975,MA,UFV1,0,6.23,155.35,1.47,11.1,57.87,38.41,800.01,0.288228,24.71,27.44,10.47,55,48,0.65,0.01733316,0.6,0.12,25236.09,26421.36,6.1,5.3,1.2,131,4.5,0.9,0,2.2,5.8,5.8,8,72.4,0,2.4,42.4,43,24,12,21
-15.81558,-42.09297,MA,UFV1,0,5.27,215.15,1.21,9.44,55.96,23,394.37,0.455179433909691,17.07,27.51,12.46,50.62,38.11,0.35,0.01733316,0.49,0.11,22883.42,30700.07,6.3,4.8,2.7,298,2.4,3.9,0,3.5,7.2,7.2,10.7,67.2,0,2.9,39.8,43,15,14,28
-16.13464,-45.82,SF,UFV1,0,8.82,904.98,1.9,13.86,73.38,36.53,233.26,0.455179433909691,27.69,14.14,12.14,73.97,98.37,0.46,0.07,0.0466662,0.0342896437742502,41309.87,42020.91,8.4,5.5,8.8,51,1.1,10.6,0,1.1,13.3,13.3,14.4,92.3,0,0.1,50,55,18,16,11
-17.48714,-46.60881,SF,UFV1,0,1.14559749674312,98.64,0.58,1.35,9.9,6.72,14.07,0.259448,4.4,14.67,5.74,9.15,16.46,0.2,0.01733316,0.24,0.12,7460.47,21272.52,6.8,4.7,0.7,140,1.3,1.2,0,1.9,3.3,3.3,5.2,63.1,0,0.4,48.3,35,24,11,30
-15.63597,-42.17253,MA,UFV1,0,1.14559749674312,68.1,0.64,0.91,15.17,5.29,21.19,0.620705,8.96,6.36,5.58,6.09,14.96,0.13,0.01733316,0.0466662,0.0342896437742502,7791.35,6706.67,5.9,3.8,1.7,78,0.5,1.3,0.3,1.9,3.1,3.4,5,61.8,8.6,0.1,43.3,40,33,19,8
